1.17034 86.3058 | -3.26037 -2.67088 | 3006.42 2163.66
1.67575 86.2608 | -0.903249 -2.49937 | -19052.7 -6502.15
2.17037 86.2516 | 0.338495 -0.264266 | -1773.69 8331.28
2.661 86.2963 | -0.529067 -0.0145004 | 9520.12 -3136.14
3.15343 86.3772 | -1.45625 0.827512 | 4481.7 -2370.89
3.6425 86.4909 | -0.180708 0.57362 | -6368.24 4028.08
4.11705 86.6446 | 0.2387 1.92655 | -3200.04 -3576.85
4.57931 86.8248 | -0.936417 -0.0818147 | 7806.76 95.2637
5.03588 87.0289 | -1.51549 -1.76961 | -3965.42 -1891.5
5.47698 87.2588 | -0.770451 -1.15179 | -1781.33 -1172.82
5.89935 87.5183 | 0.923491 -1.97885 | 335.371 7490.94
6.30163 87.8117 | -0.0913983 -1.03788 | -3742.42 -6994.35
6.69009 88.1175 | 2.5659 -0.174349 | 6184.18 5193.68
7.07614 88.4337 | 3.73375 0.132597 | 489.336 -4594.99
7.46141 88.7491 | 0.587801 2.33905 | -3937.34 -339.046
7.84225 89.0679 | -0.0471581 1.88946 | 1672.45 14217.9
8.22723 89.3927 | -0.877709 -0.096411 | 9135.29 -7409.7
8.63903 89.6864 | -0.326057 0.0594049 | -3601.9 563.992
9.07042 89.9455 | 0.419954 1.22563 | -7955.24 -5850.91
9.51923 90.157 | -1.05005 1.3862 | 575.65 -1621.41
9.98865 90.318 | -0.81269 0.968306 | 11241.1 3410.09
10.4787 90.4338 | -0.0501227 1.10187 | -8130.99 -5456.93
10.9721 90.5049 | 0.896599 -0.882617 | -6593.55 5307.08
11.4645 90.551 | 1.71263 0.558013 | 7264.98 -1062.49
11.9636 90.5696 | 1.32121 4.88751 | 4321.45 36.5695
12.4674 90.5643 | 1.18329 4.26993 | 5523.18 4895.11
12.9744 90.5393 | 1.52765 3.40957 | -4152.76 -3024.81
13.4756 90.4789 | -1.33873 -1.00546 | -7335.92 -2562.34
13.9659 90.3804 | -4.05684 -0.0644586 | 3998.18 1117.14
14.4513 90.2535 | -1.56643 5.55318 | -69.1192 4035.12
14.9292 90.1025 | -2.91969 -0.720285 | 758.77 -3230.72
15.3951 89.9162 | -3.0576 -0.915891 | -3774.2 426.83
15.8431 89.6963 | 2.16276 2.54174 | -997.506 3355.46
16.2728 89.448 | 3.66843 0.80352 | -8674.57 -6379.75
16.6795 89.1686 | 0.228827 1.73239 | 3040.06 7385.41
17.0853 88.8885 | -0.500551 0.618113 | 12055.5 -5319.03
17.5011 88.6077 | 0.29613 -2.77533 | -2480.93 1247.73
17.9178 88.3285 | 1.86825 -1.4591 | 458.492 652.925
18.3361 88.0491 | 5.03696 1.93082 | 9638.68 -7785.55
18.7591 87.762 | 2.11524 3.62407 | -6270.58 -3205.21
19.1787 87.4728 | -1.31454 1.49937 | -1996.57 8047.86
19.606 87.2034 | 0.404827 1.22229 | 3589.01 6340.87
20.0455 86.9544 | 2.06406 0.896859 | -2878.14 -17225.6
20.4881 86.7019 | 2.26492 -0.958832 | 9141.65 3867.55
20.9507 86.4821 | 0.570845 -1.89741 | -13780.4 11977.7
21.4222 86.3142 | -3.03527 -2.49753 | -4402.95 -466.801
21.9031 86.1889 | -3.24278 -1.68578 | 8219.24 641.317
22.3976 86.1028 | -0.219766 -1.34802 | -782.85 -4497.93
22.8972 86.045 | 1.99861 -2.11217 | 3393.16 7509.03
