-58.905 -29.2432 | -3.4448 3.04816 | 1646.32 85.3786
-58.4222 -29.1215 | -4.64765 -2.69317 | 539.893 10598
-57.9294 -29.0335 | -0.930519 -1.956 | 11182 -16282.6
-57.4224 -29.0198 | -4.04293 1.45191 | -782.848 2971.76
-56.9158 -29.0545 | -0.955921 0.986536 | 754.462 9011.26
-56.4162 -29.125 | 3.66102 -3.33234 | -31585.3 -13473.1
-55.9462 -29.253 | 2.46974 -0.896675 | 20520.5 8429.08
-55.4681 -29.3911 | -5.90128 -2.5464 | 12312.4 -3327.99
-54.9828 -29.5378 | -2.3206 0.0763515 | -10340.7 1456.97
-54.5046 -29.6881 | 1.09737 -0.911692 | -2148.53 5179.22
-54.0283 -29.8356 | -0.435102 -0.486273 | 8773.98 572.694
-53.5504 -29.9915 | -0.125418 2.58314 | -10664.7 -13669.3
-53.0867 -30.1743 | -0.149972 4.06825 | -8412.42 18447.5
-52.6264 -30.3422 | -3.56002 -3.59249 | 12850.7 -16197
-52.1571 -30.5157 | 0.142715 -0.657142 | 2520.51 8751.9
-51.6789 -30.6645 | 1.20281 4.09314 | -8787.74 -40.1986
-51.2008 -30.7945 | -1.65506 -4.26081 | 916.892 -2643.12
-50.7177 -30.9056 | -0.123765 -1.45844 | 3632.35 8250.34
-50.2278 -30.9883 | 2.03276 3.71758 | -5168.47 -13668.2
-49.7392 -31.0685 | 2.93064 -1.63203 | -1534.72 9837.89
-49.246 -31.1167 | 7.18887 3.69961 | 22049.9 -11809
-48.7363 -31.1434 | 2.39943 2.68327 | -7025.09 12101
-48.2285 -31.1168 | -3.48948 1.96911 | 6228.5 5914.37
-47.7214 -31.0507 | -3.11003 -0.902592 | -11236.4 -20564.8
